description,category,disposal_instruction,common_confusion,material_composition
empty small Commercial orange peel,Food Organics,Use compostable bags for collection if required.,,Biodegradable matter derived from plant or animal sources.
folded massive spotted mirror fragment,Glass,Broken glass should be wrapped and labeled before disposal.,,"Silica-based material, may contain additives for color or strength."
soiled spotted tape partially filled,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,,Various non-recyclable materials often with mixed composition.
used standard striped metal tube containing residue,Metal,Remove any non-metal parts if possible.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
vegetable waste,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,,Biodegradable matter derived from plant or animal sources.
regular-sized gold Eco-Friendly bottle cap partially filled,Metal,Large metal items should be taken to recycling center.,,"Aluminum, steel, tin or mixed metal alloys."
partial oversized gold wooden cotton towel,Textile Trash,Some retailers accept old clothing for recycling.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
folded travel-sized synthetic Local worn jeans,Textile Trash,Some retailers accept old clothing for recycling.,,"Fabric made from natural or synthetic fibers, may include blends."
Bulk avocado pit with food residue,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,,Biodegradable matter derived from plant or animal sources.
oversized floral Natural scarf with product remaining,Textile Trash,Cut into rags for home use if appropriate.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
stained massive multi-colored glass jar,Glass,Broken glass should be wrapped and labeled before disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
full personal red Brand B cotton towel,Textile Trash,Cut into rags for home use if appropriate.,,"Fabric made from natural or synthetic fibers, may include blends."
intact regular-sized sticky note sealed,Paper,Remove any plastic or metal attachments before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
oversized pink tissue paper,Paper,Shred sensitive documents before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
intact compact gold CD case with contents,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
wrinkled flower petals,Vegetation,Check if your area has seasonal leaf collection.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
empty industrial Organic glass bottle sealed,Glass,Broken glass should be wrapped and labeled before disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
used large spotted detergent bottle,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",,Polymer materials derived from petrochemicals or plant-based sources.
crumpled tiny striped Supermarket sheet of paper containing residue,Paper,Remove any plastic or metal attachments before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
industrial plastic tray sealed,Plastic,Rinse container before recycling.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
tiny orange paper Eco-Friendly rug,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
grass clippings,Vegetation,Consider home composting for small amounts.,,Plant matter composed primarily of cellulose and lignin.
intact compact transparent Imported cereal box,Cardboard,Break down large boxes to save space.,,Thick paper pulp formed into corrugated or solid sheets.
metal cutlery,Metal,Large metal items should be taken to recycling center.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
damaged personal metal pipe,Metal,Remove any non-metal parts if possible.,,"Aluminum, steel, tin or mixed metal alloys."
full toothbrush,Plastic,Rinse container before recycling.,,Polymer materials derived from petrochemicals or plant-based sources.
partial personal spotted Artisanal toothbrush,Plastic,Check recycling number on bottom and sort accordingly.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
fun-sized sheet of paper,Paper,"If stained with food or oil, place in general waste.",Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
ripped enormous orange Generic foil wrapper,Metal,Large metal items should be taken to recycling center.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
empty large notebook paper,Paper,Ensure it is clean and dry before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
blue egg carton,Cardboard,"If contaminated with food, tear off contaminated parts.",,Thick paper pulp formed into corrugated or solid sheets.
crumpled medium plastic wrap empty,Plastic,Check recycling number on bottom and sort accordingly.,,Polymer materials derived from petrochemicals or plant-based sources.
empty silicone plastic-metal composite,Miscellaneous Trash,Hazardous items like batteries require special disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
ripped purple Eco-Friendly pine needles,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
torn Homemade glass ornament,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
new gold yard trimmings,Vegetation,Consider home composting for small amounts.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
intact glass jar,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
clean large multi-colored Natural branches,Vegetation,Place in green waste bin or compost.,,Plant matter composed primarily of cellulose and lignin.
regular-sized multi-colored detergent bottle,Plastic,Rinse container before recycling.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
notebook,Paper,Shred sensitive documents before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
broken envelope,Paper,Place in paper recycling bin.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
tiny spotted leather Artisanal scarf partially filled,Textile Trash,Consider donating if still usable.,,"Fabric made from natural or synthetic fibers, may include blends."
travel-sized Organic beverage carrier,Cardboard,"If contaminated with food, tear off contaminated parts.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
crumpled massive gold cardboard battery,Miscellaneous Trash,Hazardous items like batteries require special disposal.,,Various non-recyclable materials often with mixed composition.
industrial multi-colored beverage carrier with liquid inside,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
intact large bread,Food Organics,Keep separate from recyclable materials.,,Biodegradable matter derived from plant or animal sources.
clean fun-sized old t-shirt,Textile Trash,Consider donating if still usable.,,"Fabric made from natural or synthetic fibers, may include blends."
empty orange Imported clamshell packaging,Plastic,Rinse container before recycling.,,Polymer materials derived from petrochemicals or plant-based sources.
intact multi-colored detergent bottle partially filled,Plastic,Rinse container before recycling.,,Polymer materials derived from petrochemicals or plant-based sources.
dirty tiny red Bulk detergent bottle,Plastic,Plastic bags can be returned to supermarket collection points.,,Polymer materials derived from petrochemicals or plant-based sources.
transparent Imported yard trimmings,Vegetation,Large branches may need to be cut to appropriate size.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
Homemade plastic-metal composite,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
dirty compact patterned Commercial metal coat hanger,Metal,Remove any non-metal parts if possible.,,"Aluminum, steel, tin or mixed metal alloys."
empty tiny patterned paper cup,Paper,Remove any plastic or metal attachments before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
full Designer flower petals,Vegetation,Check if your area has seasonal leaf collection.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
dirty oversized Local leftover pasta,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
partial linen cloth with contents,Textile Trash,Consider donating if still usable.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
mini silicone pen,Miscellaneous Trash,Check for recyclable components before disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
small white Eco-Friendly food container,Plastic,Check recycling number on bottom and sort accordingly.,,Polymer materials derived from petrochemicals or plant-based sources.
clean purple nail,Metal,Remove any non-metal parts if possible.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
torn yellow Natural copper wire,Metal,Large metal items should be taken to recycling center.,,"Aluminum, steel, tin or mixed metal alloys."
gold Supermarket tree bark,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
large orange Artisanal nail,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",,"Aluminum, steel, tin or mixed metal alloys."
large metal cutlery with liquid inside,Metal,Place in metal recycling bin.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
wrinkled CD case with food residue,Plastic,Remove labels if possible.,,Polymer materials derived from petrochemicals or plant-based sources.
wrinkled patterned Brand B flyer partially filled,Paper,Ensure it is clean and dry before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
broken purple flower petals empty,Vegetation,Consider home composting for small amounts.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
wrinkled regular-sized glass bottle,Glass,"Place in glass recycling bin, sorted by color if required.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
wooden pencil sealed,Miscellaneous Trash,Consider if items can be repaired or repurposed.,,Various non-recyclable materials often with mixed composition.
soiled mini purple Homemade office paper with product remaining,Paper,Remove any plastic or metal attachments before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
ripped travel-sized Brand A hedge trimmings,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
stained standard blue Bulk plastic cup,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
personal patterned Generic glass cup,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
massive gold paper cup,Paper,Shred sensitive documents before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
tiny blue dryer lint,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
industrial multi-colored greeting card,Paper,"If stained with food or oil, place in general waste.",Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
personal floral plastic lid with label attached,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
massive patterned biodegradable ceramic mug,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,,Various non-recyclable materials often with mixed composition.
full oversized patterned egg shells,Food Organics,Place in organic waste or compost bin.,,Biodegradable matter derived from plant or animal sources.
compact transparent Bulk corn cob,Food Organics,Use compostable bags for collection if required.,,Biodegradable matter derived from plant or animal sources.
yellow linen cloth,Textile Trash,Consider donating if still usable.,,"Fabric made from natural or synthetic fibers, may include blends."
torn patterned Homemade fallen leaves,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
crumpled toilet paper roll,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
oversized silver synthetic pillow case partially filled,Textile Trash,Some retailers accept old clothing for recycling.,,"Fabric made from natural or synthetic fibers, may include blends."
soiled sticky note,Paper,Place in paper recycling bin.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
small black Designer tea bags sealed,Food Organics,"If no compost available, place in general waste.",,Biodegradable matter derived from plant or animal sources.
dry personal blue Brand A steel scrap,Metal,Large metal items should be taken to recycling center.,,"Aluminum, steel, tin or mixed metal alloys."
broken hat empty,Textile Trash,Some retailers accept old clothing for recycling.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
broken orange potted plant with product remaining,Vegetation,Consider home composting for small amounts.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
gold clamshell packaging,Plastic,Rinse container before recycling.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
wrinkled Bulk polyester jacket partially filled,Textile Trash,Consider donating if still usable.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
ripped industrial tape with food residue,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
damaged travel-sized yellow Supermarket light bulb,Glass,"Remove caps, lids, and corks before recycling.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
dry red Designer hedge trimmings sealed,Vegetation,Consider home composting for small amounts.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
industrial purple Local spoiled food,Food Organics,Use compostable bags for collection if required.,,Biodegradable matter derived from plant or animal sources.
wet gold Local chicken bones,Food Organics,"If no compost available, place in general waste.",Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
wet industrial purple olive pits,Food Organics,Use compostable bags for collection if required.,,Biodegradable matter derived from plant or animal sources.
wet oversized transparent Generic plastic bag,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
used pink Organic notebook,Paper,Ensure it is clean and dry before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
clean foil wrapper,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
fun-sized pink pillow case,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
soiled large silicone Commercial rubber band,Miscellaneous Trash,Consider if items can be repaired or repurposed.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
stained oversized striped plastic cup,Plastic,Check recycling number on bottom and sort accordingly.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
wrinkled travel-sized transparent Budget office paper,Paper,"If stained with food or oil, place in general waste.",,Cellulose fibers derived from wood pulp or recycled paper.
mini Brand A beverage carrier,Cardboard,"If contaminated with food, tear off contaminated parts.",,Thick paper pulp formed into corrugated or solid sheets.
small red nail,Metal,Ensure it is clean and empty before recycling.,,"Aluminum, steel, tin or mixed metal alloys."
ripped composite tape,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
gold plastic toy,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",,Polymer materials derived from petrochemicals or plant-based sources.
new gold hedge trimmings containing residue,Vegetation,Some municipalities offer special collection services.,,Plant matter composed primarily of cellulose and lignin.
clean Generic plant cuttings,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
gold sticky note,Paper,Remove any plastic or metal attachments before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
stained nail,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
soiled personal green pencil,Miscellaneous Trash,Hazardous items like batteries require special disposal.,,Various non-recyclable materials often with mixed composition.
regular-sized white Brand A tree limbs,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
torn pink ceramic mug with product remaining,Miscellaneous Trash,Hazardous items like batteries require special disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
dirty Brand B beer bottle empty,Glass,"Place in glass recycling bin, sorted by color if required.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
used patterned grass clippings,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
orange Imported potted plant with product remaining,Vegetation,Place in green waste bin or compost.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
personal red Organic cigarette butt with liquid inside,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
plastic cup with food residue,Plastic,Rinse container before recycling.,,Polymer materials derived from petrochemicals or plant-based sources.
dry massive synthetic scarf with label attached,Textile Trash,Cut into rags for home use if appropriate.,,"Fabric made from natural or synthetic fibers, may include blends."
massive white Premium grass clippings,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
empty Commercial vegetable plant,Vegetation,Consider home composting for small amounts.,,Plant matter composed primarily of cellulose and lignin.
wrinkled standard blue Eco-Friendly vegetable waste with label attached,Food Organics,"If no compost available, place in general waste.",Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
flowers,Vegetation,Place in green waste bin or compost.,,Plant matter composed primarily of cellulose and lignin.
full enormous striped metal screw with product remaining,Metal,Place in metal recycling bin.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
transparent clamshell packaging,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",,Polymer materials derived from petrochemicals or plant-based sources.
damaged enormous gold rubber polyester jacket,Textile Trash,Consider donating if still usable.,,"Fabric made from natural or synthetic fibers, may include blends."
partial standard plastic cutlery,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
personal egg carton,Cardboard,Break down large boxes to save space.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
dry compact copper wire,Metal,Remove any non-metal parts if possible.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
compact multi-colored silicone cotton towel,Textile Trash,Cut into rags for home use if appropriate.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
intact red palm fronds leaking,Vegetation,Consider home composting for small amounts.,,Plant matter composed primarily of cellulose and lignin.
ripped Brand A office paper,Paper,Remove any plastic or metal attachments before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
oversized Artisanal aluminum can,Metal,Ensure it is clean and empty before recycling.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
wet industrial CD case with liquid inside,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
empty standard moving box,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.",,Thick paper pulp formed into corrugated or solid sheets.
wet mini floral glass pitcher leaking,Glass,Rinse container before recycling.,,"Silica-based material, may contain additives for color or strength."
synthetic Imported dryer lint with food residue,Miscellaneous Trash,Consider if items can be repaired or repurposed.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
ripped industrial striped silicone worn jeans empty,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
empty brown Imported glass tabletop,Glass,"Place in glass recycling bin, sorted by color if required.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
oversized appliance box,Cardboard,"If contaminated with food, tear off contaminated parts.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
purple shoe box sealed,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.",,Thick paper pulp formed into corrugated or solid sheets.
broken fun-sized transparent Brand A file box,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.",,Thick paper pulp formed into corrugated or solid sheets.
broken blue cardboard sleeve,Cardboard,"If contaminated with food, tear off contaminated parts.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
standard yellow glass jar empty,Glass,"Place in glass recycling bin, sorted by color if required.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
white food packaging,Cardboard,Break down large boxes to save space.,,Thick paper pulp formed into corrugated or solid sheets.
broken gold Commercial tree limbs,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
broken travel-sized Organic corrugated box leaking,Cardboard,"If contaminated with food, tear off contaminated parts.",,Thick paper pulp formed into corrugated or solid sheets.
torn enormous fabric scrap,Textile Trash,Consider donating if still usable.,,"Fabric made from natural or synthetic fibers, may include blends."
dry standard spotted bubble wrap,Plastic,Check recycling number on bottom and sort accordingly.,,Polymer materials derived from petrochemicals or plant-based sources.
full tiny olive pits,Food Organics,Use compostable bags for collection if required.,,Biodegradable matter derived from plant or animal sources.
mini coffee grounds partially filled,Food Organics,Use compostable bags for collection if required.,,Biodegradable matter derived from plant or animal sources.
new enormous Brand A notebook,Paper,Shred sensitive documents before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
metal disposable razor with food residue,Miscellaneous Trash,Hazardous items like batteries require special disposal.,,Various non-recyclable materials often with mixed composition.
nail,Metal,Remove any non-metal parts if possible.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
dry compact green Imported marker,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
folded small white Local tree bark empty,Vegetation,Place in green waste bin or compost.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
small brown Designer cardboard mailer with product remaining,Cardboard,Flatten boxes before placing in cardboard recycling.,,Thick paper pulp formed into corrugated or solid sheets.
folded personal purple toilet paper roll,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
broken travel-sized gold Designer fruit peel,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
oversized paperback book,Paper,Ensure it is clean and dry before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
partial Bulk steel container,Metal,Place in metal recycling bin.,,"Aluminum, steel, tin or mixed metal alloys."
soiled regular-sized Organic bush clippings,Vegetation,Some municipalities offer special collection services.,,Plant matter composed primarily of cellulose and lignin.
mini patterned tin can,Metal,Place in metal recycling bin.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
damaged transparent branches sealed,Vegetation,Place in green waste bin or compost.,,Plant matter composed primarily of cellulose and lignin.
torn leather Supermarket rug,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
wet industrial cereal box leaking,Cardboard,Break down large boxes to save space.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
torn regular-sized wooden worn jeans with liquid inside,Textile Trash,"If no recycling options exist, place in general waste.",,"Fabric made from natural or synthetic fibers, may include blends."
soiled enormous gold garden waste,Vegetation,Place in green waste bin or compost.,,Plant matter composed primarily of cellulose and lignin.
tiny weeds,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
compact floral Brand A copper wire,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
oversized tape sealed,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
greeting card,Paper,Shred sensitive documents before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
personal green glass Eco-Friendly marker,Miscellaneous Trash,Place truly non-recyclable items in general waste.,,Various non-recyclable materials often with mixed composition.
torn enormous brown tea bags empty,Food Organics,Place in organic waste or compost bin.,,Biodegradable matter derived from plant or animal sources.
regular-sized black Homemade medicine bottle,Glass,Non-container glass may require special disposal.,,"Silica-based material, may contain additives for color or strength."
soiled compact white carpet piece,Textile Trash,Some retailers accept old clothing for recycling.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
torn travel-sized multi-colored biodegradable Brand A gloves,Textile Trash,Consider donating if still usable.,,"Fabric made from natural or synthetic fibers, may include blends."
mini transparent Natural appliance box,Cardboard,Break down large boxes to save space.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
regular-sized Eco-Friendly clamshell packaging,Plastic,Remove labels if possible.,,Polymer materials derived from petrochemicals or plant-based sources.
white steel scrap with liquid inside,Metal,Large metal items should be taken to recycling center.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
crumpled industrial purple meat scraps containing residue,Food Organics,Keep separate from recyclable materials.,,Biodegradable matter derived from plant or animal sources.
new orange plastic cup,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
soiled Brand A glass sheet,Glass,"Place in glass recycling bin, sorted by color if required.",,"Silica-based material, may contain additives for color or strength."
crumpled compact white Local newspaper,Paper,"If stained with food or oil, place in general waste.",Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
dry orange Designer light bulb with contents,Glass,"Remove caps, lids, and corks before recycling.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
full Generic window glass with food residue,Glass,"Remove caps, lids, and corks before recycling.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
wet fun-sized white Eco-Friendly metal lid,Metal,Remove any non-metal parts if possible.,,"Aluminum, steel, tin or mixed metal alloys."
personal cardboard tube,Cardboard,"If contaminated with food, tear off contaminated parts.",,Thick paper pulp formed into corrugated or solid sheets.
folded Premium plant stems,Vegetation,Large branches may need to be cut to appropriate size.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
soiled tiny striped bamboo wool sweater,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
stained Supermarket glass bottle,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
tiny spotted Organic orange peel with label attached,Food Organics,Keep separate from recyclable materials.,,Biodegradable matter derived from plant or animal sources.
spotted cardboard tray with food residue,Cardboard,Break down large boxes to save space.,,Thick paper pulp formed into corrugated or solid sheets.
